movieId,title,imdbId,date,plot,g_adventure,g_animation,g_children,g_comedy,g_fantasy,g_romance,g_action,g_crime,g_thriller,g_drama,g_horror,g_mystery,g_sci-fi,g_war,g_musical,g_imax,g_documentary,g_western,g_film-noir,g_(no,g_genres,g_listed),d_johnlasseter,d_joejohnston,d_howarddeutch,d_charlesshyer,d_michaelmann,d_sydneypollack,d_peterhyams,d_martincampbell,d_robreiner,d_melbrooks,d_oliverstone,d_rennyharlin,d_martinscorsese,d_anglee,d_allisonanders,d_alexandrerockwell,d_robertrodriguez,d_quentintarantino,d_chuckjones,d_steveoedekerk,a_tomhanks,a_timallen,a_donrickles,a_jimvarney,a_wallaceshawn,a_johnratzenberger,a_anniepotts,a_johnmorris,a_erikvondetten,a_lauriemetcalf,a_r.leeermey,a_sarahrayne,a_pennjillette,a_jackangel,a_spenceraste,a_gregberg,a_lisabradley,a_kendallcunningham,a_debiderryberry,a_codydorkin
1,toy story ,114709,1995,"a little boy named andy loves to be in his room, playing with his toys, especially his doll named ""woody"". but, what do the toys do when andy is not with them, they come to life. woody believes that his life (as a toy) is good. however, he must worry about andy's family moving, and what woody does not know is about andy's birthday party. woody does not realize that andy's mother gave him an action figure known as buzz lightyear, who does not believe that he is a toy, and quickly becomes andy's new favorite toy. woody, who is now consumed with jealousy, tries to get rid of buzz. then, both woody and buzz are now lost. they must find a way to get back to andy before he moves without them, but they will have to pass through a ruthless toy killer, sid phillips.",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,jumanji ,113497,1995,"jumanji, one of the most unique--and dangerous--board games ever, falls into the hands of the curious teen, alan parrish, in 1969. mysterious and magical, the game strands the unsuspecting boy in the lush, savage forests of a mythical realm. nearly three decades later, the game releases him before the awed eyes of the young orphaned siblings, judy and peter shepherd. now, the wild and incessant beat of the jungle's tribal drums is calling for the now-adult alan and the other hesitant players, as the one who rolls the dice must never leave undone what the roll has started. has anyone ever escaped from the game and jumanji's formidable foes?",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,grumpier old men ,113228,1995,"things don't seem to change much in wabasha county: max and john are still fighting after 35 years, grandpa still drinks, smokes, and chases women , and nobody's been able to catch the fabled ""catfish hunter"", a gigantic catfish that actually smiles at fishermen who try to snare it. six months ago john married the new girl in town (ariel), and people begin to suspect that max might be missing something similar in his life. the only joy max claims is left in his life is fishing, but that might change with the new owner of the bait shop.",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,father of the bride part ii ,113041,1995,"in this sequel to ""father of the bride"", george banks must accept the reality of what his daughter's ascension from daughter to wife, and now, to mother means when placed into perspective against his own stage of life. as the comfortable family unit starts to unravel in his mind, a rapid progression into mid-life crisis is in his future. his journey to regain his youth acts as a catalyst for a kind of ""rebirth"" of his attitude on life when he and his wife, nina, find how their lives are about to change as well.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,heat ,113277,1995,"hunters and their prey--neil and his professional criminal crew hunt to score big money targets (banks, vaults, armored cars) and are, in turn, hunted by lt. vincent hanna and his team of cops in the robbery/homicide police division. a botched job puts hanna onto their trail while they regroup and try to put together one last big 'retirement' score. neil and vincent are similar in many ways, including their troubled personal lives. at a crucial moment in his life, neil disobeys the dictum taught to him long ago by his criminal mentor--'never have anything in your life that you can't walk out on in thirty seconds flat, if you spot the heat coming around the corner'--as he falls in love. thus the stage is set for the suspenseful ending....",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,sabrina ,114319,1995,"while she was growing up, sabrina fairchild spent more time perched in a tree watching the larrabee family than she ever did on solid ground. as the chauffeur's daughter on their lavish long island estate, sabrina was invisible behind the branches, but she knew them all below - there is maude larrabee, the modern matriarch of the larrabee corporation; linus larrabee, the serious older son who expanded a successful family business into the world's largest communications company; and david, the handsome, fun-loving larrabee, who was the center of sabrina's world until she was shipped off to paris. after two years on the staff of vogue magazine, sabrina has returned to the larrabee estate but now she has blossomed into a beautiful and sophisticated woman. and she's standing in the way of a billion dollar deal.",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,sudden death ,114576,1995,"darren mccord takes his two kids to a pittsburgh penguins national hockey league play-off game, unknowing that the sports arena has been taken over by terrorists, who are holding the vice president of the united states, as well as many other high-ranking officials hostage. darren later becomes the only one who is aware of the situation. and, the stakes are raised when the terrorists announce that they will blow-up the building at the end of the game. therefore, darren must not only subdue the terrorists, but postpone the game and send it to overtime.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,goldeneye ,113189,1995,"when a deadly satellite weapon system falls into the wrong hands, only agent james bond 007 (pierce brosnan) can save the world from certain disaster. armed with his licence to kill, bond races to russia in search of the stolen access codes for ""goldeneye"", an awesome space weapon that can fire a devastating electromagnetic pulse toward earth. but 007 is up against an enemy who anticipates his every move: a mastermind motivated by years of simmering hatred. bond also squares off against xenia onatopp (famke janssen), an assassin who uses pleasure as her ultimate weapon.",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"american president, the ",112346,1995,"andrew shepherd is approaching the end of his first term as president of the united states. he's a widower with a young daughter and has proved to be popular with the public. his election seems assured. that is until he meets sydney ellen wade, a paid political activist working for an environmental lobby group. he's immediately smitten with her and after several amusing attempts, they finally manage to go on a date (which happens to be a state dinner for the visiting president of france). his relationship with wade opens the door for his prime political opponent, senator bob rumson, to launch an attack on the president's character, something he could not do in the previous election as shepherd's wife had only recently died.",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,dracula: dead and loving it ,112896,1995,"another spoof from the mind of mel brooks . this time he's out to poke fun at the dracula myth. basically, he took ""bram stoker's dracula,"" gave it a new cast and a new script and made a big joke out of it. the usual, rich english are attacked by dracula and dr. van helsing is brought in to save the day.",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,nixon ,113987,1995,"writer, producer, and director oliver stone's exploration of former president richard nixon's strict quaker upbringing, his nascent political strivings in law school, and his strangely self-effacing courtship of his wife, pat (joan allen). the contradictions in his character are revealed early, in the vicious campaign against helen gahagan douglas and the oddly masochistic checkers speech. his defeat at the hands of the hated and envied john f. kennedy in the 1960 presidential election, followed by the loss of the 1962 california gubernatorial race, seem to signal the end of his career. yet, although wholly lacking in charisma, nixon remains a brilliant political operator, seizing the opportunity provided by the backlash against the antiwar movement to take the presidency in 1968. it is only when safely in office, running far ahead in the polls for the 1972 presidential election, that his growing paranoia comes to full flower, triggering the watergate scandal.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,cutthroat island ,112760,1995,"morgan adams and her slave, william shaw, are on a quest to recover the three portions of a treasure map. unfortunately, the final portion is held by her murderous uncle, dawg. her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. this is made yet more difficult by the efforts of the british crown to end her piratical raids.",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,casino ,112641,1995,"this martin scorsese film depicts the janus-like quality of las vegas--it has a glittering, glamorous face, as well as a brutal, cruel one. ace rothstein and nicky santoro, mobsters who move to las vegas to make their mark, live and work in this paradoxical world. seen through their eyes, each as a foil to the other, the details of mob involvement in the casinos of the 1970s and '80s are revealed. ace is the smooth operator of the tangiers casino, while nicky is his boyhood friend and tough strongman, robbing and shaking down the locals. however, they each have a tragic flaw--ace falls in love with a hustler, ginger, and nicky falls into an ever-deepening spiral of drugs and violence.",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,sense and sensibility ,114388,1995,"when mr. dashwood (tom wilkinson) dies, he must leave the bulk of his estate to the son by his first marriage, which leaves his second wife and their three daughters elinor (dame emma thompson), marianne (kate winslet), and margaret (emilie françois), in straitened circumstances. they are taken in by a kindly cousin, but their lack of fortune affects the marriageability of practical elinor and romantic marianne. when elinor forms an attachment for the wealthy edward ferrars (hugh grant), his family disapproves and separates them. and though mrs. jennings (elizabeth spriggs) tries to match the worthy (and rich) colonel brandon (alan rickman) to her, marianne finds the dashing and fiery john willoughby (greg wise) more to her taste. both relationships are sorely tried.",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,four rooms ,113101,1995,"this movie features the collaborative directorial efforts of four new filmmakers, each of whom directs a segment of this comedy. it's new year's eve at the mon signor hotel, a former grand old hollywood hotel, now fallen upon hard times. often using physical comedy and sight gags, this movie chronicles the slapstick misadventures of ted, the bellhop. he's on his first night on the job, when he's asked to help out a coven of witches in the honeymoon suite. things only get worse when he delivers ice to the wrong room and ends up in a domestic argument at a really bad time. next, he foolishly agrees to watch a gangster's kids for him while he's away. finally, he finishes off the night refereeing a ghastly wager.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
